order,"product id","product name",quantity,price,subtotal
3321562,1119,"Tactile Switch Buttons (12mm square, 6mm tall) x 10 pack",1,2.5000,2.5
3321562,1311,"Hook up Wire Spool Set   22AWG Solid Core   6 x 25 ft",1,15.9500,15.95
3321562,1426,"NeoPixel Stick   8 x 5050 RGB LED with Integrated Drivers",1,5.9500,5.95
3321562,1461,"Adafruit NeoPixel Digital RGB LED Strip   Black 60 LED 4m",1,99.8000,99.8
3321562,1463,"NeoPixel Ring   16 x 5050 RGB LED with Integrated Drivers",1,9.9500,9.95
3321562,1554,"Adafruit PCB Ruler v2   6""",2,4.9500,9.9
3321562,1597,"Engineer Professional Silicone Tip Solder Sucker",1,17.5000,17.5
3321562,1641,"1N4148 Signal Diode   10 pack",1,1.5000,1.5
3321562,1643,"NeoPixel Ring   12 x 5050 RGB LED with Integrated Drivers",1,7.5000,7.5
3321562,1683,"On Off Power Button / Pushbutton Toggle Switch",1,1.9500,1.95
3321562,1713,"Electret Microphone Amplifier   MAX9814 with Auto Gain Control",1,7.9500,7.95
3321562,1893,"MPL3115A2   I2C Barometric Pressure/Altitude/Temperature Sensor",1,9.9500,9.95
3321562,1905,"Adafruit Mini Lipo w/Mini B USB Jack   USB LiIon/LiPoly charger",1,6.9500,6.95
3321562,2029,"Assembled Pi Cobbler Plus   Breakout Cable",1,6.9500,6.95
3321562,2034,"Digital Multimeter   Model 9205B ",1,17.5000,17.5
3321562,2130,"Adafruit Mono 2.5W Class D Audio Amplifier   PAM8302",1,3.9500,3.95
3321562,2263,"Adafruit GPIO Reference Card for Raspberry Pi Model B /Pi 2/Pi 3",1,2.5000,2.5
3321562,2652,"Adafruit BME280 I2C or SPI Temperature Humidity Pressure Sensor",1,14.9500,14.95
3321562,2750,"Lithium Ion Polymer Battery   3.7V 350mAh",1,6.9500,6.95
3321562,2759,"NeoPixel RGBW LEDs w/ Integrated Driver Chip   Cool White",1,5.9500,5.95
3321562,2783,"Through Hole Resistors   4.7K ohm 5% 1/4W   Pack of 25",1,0.7500,0.75
3321562,2786,"Through Hole Resistors   47K ohm 5% 1/4W   Pack of 25",1,0.7500,0.75
3321562,2787,"Through Hole Resistors   100K ohm 5% 1/4W   Pack of 25",1,0.9500,0.95
3321562,2886,"Header Kit for Feather   12 pin and 16 pin Female Header Set",1,0.9500,0.95
3321562,3317,"Adafruit VL53L0X Time of Flight Distance Sensor   ~30 to 1000mm",1,14.9500,14.95
3321562,3333,"Circuit Playground Express",1,24.9500,24.95
3321562,3595,"Adafruit APDS9960 Proximity, Light, RGB, and Gesture Sensor",1,7.5000,7.5
3321562,3803,"64x32 Flexible RGB LED Matrix   5mm Pitch",1,79.9500,79.95
3321562,3893,"STEMMA JST PH 2mm 3 Pin to Male Header Cable   200mm",1,1.2500,1.25
3321562,3950,"JST PH 2mm 4 Pin to Female Socket Cable   I2C STEMMA Cable",1,1.5000,1.5
3321562,3955,"JST PH 2mm 4 Pin to Male Header Cable   I2C STEMMA Cable   200mm",1,1.5000,1.5
3321562,4022,"Adafruit Wide Range Triple axis Magnetometer   MLX90393",1,9.9500,9.95
