Timestamp,CPU_Temp_C,RAM_Used_MB,RAM_Percent,CPU_Percent,Throttled_Hex,Throttled_Meaning
13:46:19,83.15,1524,40.0,25.3,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:20,85.35,1584,41.5,26.4,0xe0006,Arm frequency capped; Currently throttled; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:21,84.25,1629,42.6,27.5,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:22,84.8,1658,43.3,28.4,0xe0006,Arm frequency capped; Currently throttled; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:23,83.7,1779,46.1,11.7,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:24,83.7,1784,46.3,5.3,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:25,82.6,1784,46.3,5.2,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:26,83.15,1790,46.4,9.7,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:27,83.15,1789,46.4,4.3,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:28,83.15,1790,46.4,14.9,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:29,85.35,1834,47.5,24.4,0xe0006,Arm frequency capped; Currently throttled; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:30,85.35,1885,48.8,29.5,0xe0006,Arm frequency capped; Currently throttled; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:31,84.8,1949,50.4,27.5,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:32,84.8,1995,51.5,19.1,0xe0006,Arm frequency capped; Currently throttled; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:33,83.7,2000,51.6,8.5,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:34,85.35,2001,51.6,4.7,0xe0006,Arm frequency capped; Currently throttled; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:35,84.25,2002,51.7,5.3,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:36,82.6,2003,51.7,4.5,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:37,83.15,2003,51.7,7.2,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:38,83.7,2004,51.7,6.3,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:39,83.7,2012,51.9,20.9,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:40,84.8,2013,51.9,8.7,0xe0006,Arm frequency capped; Currently throttled; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:41,83.7,2019,52.1,11.0,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:42,83.15,2019,52.1,12.8,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:43,83.7,2020,52.1,20.8,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:44,83.7,2016,52.0,7.2,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:45,83.7,2025,52.2,33.9,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:46,83.15,2029,52.3,8.5,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:47,84.25,2031,52.4,18.5,0xe0006,Arm frequency capped; Currently throttled; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:48,83.7,2034,52.5,14.3,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:49,86.45,2034,52.5,19.2,0xe0006,Arm frequency capped; Currently throttled; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:50,84.25,2035,52.5,27.0,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:51,84.8,2038,52.6,34.8,0xe0006,Arm frequency capped; Currently throttled; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:52,83.7,2039,52.6,28.6,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:53,83.15,2040,52.6,11.2,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
